contact_id,acct_id,email,created_date,country
CT00000046,A0002934,contact46@example.com,2021-05-11,FR
CT00000047,A0005636,contact47@example.com,2021-10-03,DE
CT00000048,A0001981,contact48@example.com,2023-05-04,DE
CT00000049,A0000114,contact49@example.com,2021-08-18,FR
CT00000050,ACC0000996,contact50@example.com,2023-07-05,DE
CT00000051,ACC0001726,contact51@example.com,2021-02-25,PL
CT00000052,ACC0003968,contact52@example.com,2024-01-01,DE
CT00000053,A0000712,contact53@example.com,2021-12-08,PL
CT00000054,A0002550,contact54@example.com,2021-02-01,US
CT00000055,A0005454,contact55@example.com,2024-01-01,FR
CT00000056,A0004546,contact56@example.com,2024-06-13,DE
CT00000057,A0003473,contact57@example.com,2021-08-08,FR
CT00000058,A0001661,contact58@example.com,2021-12-20,US
CT00000059,A0005755,contact59@example.com,2024-01-22,US
CT00000060,A0004598,contact60@example.com,2024-03-03,DE
CT00000061,A0003326,contact61@example.com,2021-04-23,DE
CT00000062,A0004739,contact62@example.com,2021-06-03,US
CT00000063,A0003394,contact63@example.com,2024-06-27,DE
CT00000064,ACC0005341,contact64@example.com,2024-08-22,PL
CT00000065,A0005749,contact65@example.com,2021-02-06,DE
CT00000066,A0004513,contact66@example.com,2024-04-07,DE
CT00000067,A0005371,contact67@example.com,2023-05-06,PL
CT00000068,A0005897,contact68@example.com,2024-07-06,PL
CT00000069,A0001016,contact69@example.com,2021-04-26,FR
CT00000070,ACC0002048,contact70@example.com,2024-02-27,US
CT00000071,A0003032,contact71@example.com,2023-05-25,US
CT00000072,A0000463,contact72@example.com,2022-11-14,FR
CT00000073,A0003520,contact73@example.com,2021-04-03,FR
CT00000074,A0001747,contact74@example.com,2023-10-04,US
CT00000075,A0002837,contact75@example.com,2024-01-12,PL
CT00000076,A0000384,contact76@example.com,2024-01-13,FR
CT00000077,A0000048,contact77@example.com,2022-10-29,PL
CT00000078,A0003711,contact78@example.com,2024-06-01,US
CT00000079,A0002189,contact79@example.com,2024-04-15,US
CT00000080,A0003611,contact80@example.com,2022-10-26,FR
CT00000081,A0002330,contact81@example.com,2024-05-09,PL
CT00000082,A0000991,contact82@example.com,2023-07-24,FR
CT00000083,ACC0005719,contact83@example.com,2023-04-18,DE
CT00000084,A0002594,contact84@example.com,2023-06-22,FR
CT00000085,A0005289,contact85@example.com,2022-05-29,PL
CT00000086,A0000466,contact86@example.com,2022-02-12,US
CT00000087,A0002592,contact87@example.com,2022-02-08,US
CT00000088,A0005703,contact88@example.com,2021-02-16,PL
CT00000089,A0000238,contact89@example.com,2024-02-22,PL
CT00000090,A0003042,contact90@example.com,2023-08-16,US
CT00000091,A0002823,contact91@example.com,2024-01-28,FR
CT00000092,A0003079,contact92@example.com,2024-10-10,FR
CT00000093,A0004633,contact93@example.com,2023-03-21,FR
CT00000094,A0001141,contact94@example.com,2023-12-13,FR
CT00000095,A0005727,contact95@example.com,2024-07-19,US
CT00000096,A0005099,contact96@example.com,2023-01-01,US
CT00000097,A0005856,contact97@example.com,2023-11-01,DE
CT00000098,A0001778,contact98@example.com,2023-10-06,US
CT00000099,A0005990,contact99@example.com,2022-08-25,US
CT00000100,A0005209,contact100@example.com,2023-10-12,PL
CT00000101,ACC0000410,contact101@example.com,2021-08-18,FR
CT00000102,A0004097,contact102@example.com,2023-04-08,DE
CT00000103,A0005387,contact103@example.com,2024-10-11,PL
CT00000104,ACC0003424,contact104@example.com,2023-12-10,DE
CT00000105,ACC0003463,contact105@example.com,2021-09-11,FR
CT00000106,A0004930,contact106@example.com,2021-11-12,PL
CT00000107,A0005021,contact107@example.com,2024-05-26,DE
CT00000108,A0004866,contact108@example.com,2022-09-14,PL
CT00000109,A0000717,contact109@example.com,2022-05-12,PL
CT00000110,A0002221,contact110@example.com,2022-01-21,PL
CT00000111,A0005569,contact111@example.com,2023-03-18,US
CT00000112,A0004467,contact112@example.com,2024-06-04,US
CT00000113,A0002199,contact113@example.com,2023-03-12,FR
CT00000114,A0005433,contact114@example.com,2023-06-01,FR
CT00000115,A0005972,contact115@example.com,2022-09-12,FR
CT00000116,A0000747,contact116@example.com,2024-09-25,US
CT00000117,A0002125,contact117@example.com,2021-12-11,FR
CT00000118,ACC0004241,contact118@example.com,2022-07-19,FR
CT00000119,A0002904,contact119@example.com,2021-07-19,US
CT00000120,A0001505,contact120@example.com,2024-09-19,US
CT00000121,A0004576,contact121@example.com,2023-08-11,US
CT00000122,A0003755,contact122@example.com,2024-06-19,US
CT00000123,A0005172,contact123@example.com,2022-12-16,US
CT00000124,A0003877,contact124@example.com,2022-01-01,US
CT00000125,A0005651,contact125@example.com,2021-12-18,FR
CT00000126,A0000264,contact126@example.com,2023-03-12,DE
CT00000127,A0005160,contact127@example.com,2022-12-28,DE
CT00000128,A0004448,contact128@example.com,2022-10-27,DE
CT00000129,A0002095,contact129@example.com,2024-03-19,DE
CT00000130,ACC0002539,contact130@example.com,2022-04-27,PL
CT00000131,A0001851,contact131@example.com,2022-09-04,DE
CT00000132,A0005324,contact132@example.com,2023-03-26,DE
CT00000133,ACC0003466,contact133@example.com,2022-07-13,FR
CT00000134,A0005019,contact134@example.com,2023-01-30,FR
CT00000135,A0004180,contact135@example.com,2021-01-22,PL
CT00000136,A0002056,contact136@example.com,2021-03-13,DE
CT00000137,A0002256,contact137@example.com,2022-06-03,PL
CT00000138,A0004471,contact138@example.com,2024-08-30,US
CT00000139,A0003270,contact139@example.com,2022-12-12,US
CT00000140,A0004317,contact140@example.com,2022-01-17,US
CT00000141,A0003451,contact141@example.com,2021-09-15,DE
CT00000142,A0001313,contact142@example.com,2021-12-13,DE
CT00000143,ACC0001361,contact143@example.com,2022-12-17,PL
CT00000144,A0001907,contact144@example.com,2023-07-27,FR
CT00000145,A0004750,contact145@example.com,2021-03-19,US
CT00000146,A0000764,contact146@example.com,2024-01-22,US
CT00000147,A0005714,contact147@example.com,2023-01-22,FR
CT00000148,A0002214,contact148@example.com,2021-04-27,FR
CT00000149,A0002478,contact149@example.com,2021-01-14,DE
CT00000150,A0002204,contact150@example.com,2023-02-07,DE
CT00000151,A0003652,contact151@example.com,2021-07-27,FR
CT00000152,ACC0002624,contact152@example.com,2022-08-10,US
CT00000153,A0000562,contact153@example.com,2022-09-04,US
CT00000154,A0001144,contact154@example.com,2022-05-04,FR
CT00000155,A0000189,contact155@example.com,2024-10-10,DE
CT00000156,A0004923,contact156@example.com,2022-04-02,FR
CT00000157,ACC0003126,contact157@example.com,2022-03-20,DE
CT00000158,A0003268,contact158@example.com,2024-06-02,DE
CT00000159,A0004635,contact159@example.com,2024-09-21,FR
CT00000160,A0005803,contact160@example.com,2022-08-09,FR
CT00000161,A0000309,contact161@example.com,2021-01-01,DE
CT00000162,A0000585,contact162@example.com,2023-10-28,PL
CT00000163,A0002005,contact163@example.com,2022-04-01,DE
CT00000164,A0002713,contact164@example.com,2021-12-14,US
CT00000165,ACC0003359,contact165@example.com,2021-08-10,DE
CT00000166,A0005987,contact166@example.com,2023-07-28,DE
CT00000167,A0001859,contact167@example.com,2021-11-26,US
CT00000168,A0004653,contact168@example.com,2022-09-15,FR
CT00000169,A0005931,contact169@example.com,2022-07-20,US
CT00000170,ACC0002225,contact170@example.com,2021-07-16,PL
CT00000171,A0005760,contact171@example.com,2023-03-19,FR
CT00000172,A0002161,contact172@example.com,2022-11-14,FR
CT00000173,A0000383,contact173@example.com,2022-04-15,FR
CT00000174,A0004280,contact174@example.com,2022-09-20,DE
CT00000175,A0003669,contact175@example.com,2021-10-12,DE
CT00000176,A0004552,contact176@example.com,2022-03-01,US
CT00000177,A0005951,contact177@example.com,2023-01-19,PL
CT00000178,A0003141,contact178@example.com,2023-10-09,PL
CT00000179,A0004084,contact179@example.com,2022-05-03,PL
CT00000180,A0005581,contact180@example.com,2024-07-11,FR
CT00000181,A0004443,contact181@example.com,2022-03-05,PL
CT00000182,A0003921,contact182@example.com,2022-08-06,FR
CT00000183,A0004125,contact183@example.com,2022-04-10,DE
CT00000184,A0000731,contact184@example.com,2022-07-24,DE
CT00000185,ACC0005659,contact185@example.com,2024-07-13,PL
CT00000186,A0002320,contact186@example.com,2023-12-09,PL
CT00000187,A0003373,contact187@example.com,2022-07-23,US
CT00000188,ACC0002336,contact188@example.com,2022-02-11,FR
CT00000189,ACC0004815,contact189@example.com,2021-02-22,FR
CT00000190,A0005676,contact190@example.com,2021-07-31,DE
CT00000191,A0001588,contact191@example.com,2023-09-20,DE
CT00000192,A0000095,contact192@example.com,2021-07-22,FR
CT00000193,ACC0005400,contact193@example.com,2022-06-26,DE
CT00000194,A0000005,contact194@example.com,2022-12-13,US
CT00000195,A0005864,contact195@example.com,2023-06-27,US
CT00000196,A0005668,contact196@example.com,2022-04-26,PL
CT00000197,A0005866,contact197@example.com,2021-11-16,DE
CT00000198,A0003466,contact198@example.com,2021-05-23,DE
CT00000199,A0005255,contact199@example.com,2022-09-19,FR
CT00000200,A0001999,contact200@example.com,2021-03-07,PL
CT00000201,A0005646,contact201@example.com,2021-10-23,FR
CT00000202,A0000889,contact202@example.com,2021-03-28,PL
CT00000203,A0003474,contact203@example.com,2024-10-27,PL
CT00000204,ACC0005962,contact204@example.com,2024-09-26,DE
CT00000205,A0004854,contact205@example.com,2024-04-06,FR
CT00000206,A0000702,contact206@example.com,2024-09-11,DE
CT00000207,ACC0000479,contact207@example.com,2021-08-06,DE
CT00000208,A0004178,contact208@example.com,2022-11-04,FR
CT00000209,A0004306,contact209@example.com,2023-09-03,US
CT00000210,A0000865,contact210@example.com,2021-07-30,FR
CT00000211,A0003243,contact211@example.com,2021-05-24,FR
CT00000212,A0004888,contact212@example.com,2024-05-16,FR
CT00000213,A0002264,contact213@example.com,2022-01-17,DE
CT00000214,A0001265,contact214@example.com,2022-07-26,PL
CT00000215,A0004876,contact215@example.com,2022-09-05,PL
CT00000216,A0002105,contact216@example.com,2021-06-13,PL
CT00000217,A0004097,contact217@example.com,2024-03-06,FR
CT00000218,A0004654,contact218@example.com,2022-06-13,US
CT00000219,A0005888,contact219@example.com,2024-09-27,DE
CT00000220,A0002710,contact220@example.com,2021-01-28,US
CT00000221,A0001196,contact221@example.com,2021-12-16,FR
CT00000222,A0005976,contact222@example.com,2024-08-08,US
CT00000223,A0000730,contact223@example.com,2021-11-24,PL
CT00000224,A0003981,contact224@example.com,2021-07-02,US
CT00000225,A0004567,contact225@example.com,2022-04-23,US
CT00000226,A0004631,contact226@example.com,2021-06-16,PL
CT00000227,A0003677,contact227@example.com,2023-11-21,FR
CT00000228,A0000804,contact228@example.com,2023-05-26,PL
CT00000229,A0002061,contact229@example.com,2022-08-27,US
CT00000230,A0004462,contact230@example.com,2023-06-14,DE
CT00000231,A0004247,contact231@example.com,2022-11-06,US
CT00000232,A0003222,contact232@example.com,2024-04-14,PL
CT00000233,A0005536,contact233@example.com,2021-06-29,FR
CT00000234,A0000451,contact234@example.com,2024-04-06,PL
CT00000235,A0005927,contact235@example.com,2023-09-07,US
CT00000236,A0003315,contact236@example.com,2022-09-12,US
CT00000237,A0004144,contact237@example.com,2023-01-14,DE
CT00000238,A0001982,contact238@example.com,2021-07-16,FR
CT00000239,A0004956,contact239@example.com,2022-02-17,DE
CT00000240,A0001268,contact240@example.com,2022-08-09,US
CT00000241,A0003249,contact241@example.com,2022-03-28,DE
CT00000242,A0001336,contact242@example.com,2023-07-30,DE
CT00000243,A0000155,contact243@example.com,2022-08-28,US
CT00000244,A0002258,contact244@example.com,2024-10-27,DE
CT00000245,A0002876,contact245@example.com,2021-06-08,US
CT00000246,A0000790,contact246@example.com,2022-01-22,DE
CT00000247,A0000783,contact247@example.com,2021-11-05,US
CT00000248,A0005350,contact248@example.com,2023-03-22,FR
CT00000249,A0000236,contact249@example.com,2023-11-13,DE
CT00000250,ACC0003256,contact250@example.com,2022-08-17,DE
CT00000251,A0002327,contact251@example.com,2022-06-14,FR
CT00000252,A0004777,contact252@example.com,2022-03-28,FR
CT00000253,A0001503,contact253@example.com,2023-07-24,FR
CT00000254,A0004254,contact254@example.com,2021-05-08,US
CT00000255,ACC0003894,contact255@example.com,2023-01-07,FR
CT00000256,A0005333,contact256@example.com,2022-09-02,FR
CT00000257,ACC0001069,contact257@example.com,2022-06-09,US
CT00000258,A0002959,contact258@example.com,2023-01-27,US
CT00000259,A0004679,contact259@example.com,2021-08-04,DE
CT00000260,A0004799,contact260@example.com,2023-02-01,US
CT00000261,A0004946,contact261@example.com,2024-01-06,DE
CT00000262,A0000903,contact262@example.com,2024-08-02,FR
CT00000263,A0003149,contact263@example.com,2021-05-15,DE
CT00000264,ACC0005729,contact264@example.com,2024-03-09,FR
CT00000265,A0001763,contact265@example.com,2022-10-18,FR
CT00000266,A0002828,contact266@example.com,2023-11-30,US
CT00000267,A0002450,contact267@example.com,2021-01-02,FR
CT00000268,A0001847,contact268@example.com,2023-10-15,FR
CT00000269,A0000246,contact269@example.com,2023-08-28,US
CT00000270,ACC0000015,contact270@example.com,2021-07-06,DE
CT00000271,A0003986,contact271@example.com,2021-05-20,FR
CT00000272,ACC0003489,contact272@example.com,2022-12-03,PL
CT00000273,A0004497,contact273@example.com,2021-02-28,DE
CT00000274,A0003222,contact274@example.com,2023-04-18,DE
CT00000275,A0002179,contact275@example.com,2024-02-02,PL
CT00000276,A0003759,contact276@example.com,2021-07-05,FR
CT00000277,A0004258,contact277@example.com,2021-06-30,PL
CT00000278,A0003607,contact278@example.com,2021-03-10,PL
CT00000279,A0005195,contact279@example.com,2024-06-17,FR
CT00000280,ACC0002146,contact280@example.com,2023-09-28,US
CT00000281,A0002017,contact281@example.com,2021-04-25,US
CT00000282,A0001298,contact282@example.com,2021-03-14,US
CT00000283,A0002932,contact283@example.com,2021-08-26,US
CT00000284,A0003106,contact284@example.com,2022-05-01,DE
CT00000285,A0001407,contact285@example.com,2022-01-03,PL
CT00000286,A0002549,contact286@example.com,2022-01-03,FR
CT00000287,A0000859,contact287@example.com,2021-06-04,PL
CT00000288,A0005612,contact288@example.com,2024-02-18,DE
CT00000289,A0000514,contact289@example.com,2024-10-03,US
CT00000290,A0000360,contact290@example.com,2024-03-30,FR
CT00000291,A0000217,contact291@example.com,2022-03-24,PL
CT00000292,A0002712,contact292@example.com,2024-05-20,PL
CT00000293,A0000003,contact293@example.com,2023-11-22,DE
CT00000294,ACC0003571,contact294@example.com,2024-03-25,US
CT00000295,A0000215,contact295@example.com,2021-07-16,FR
CT00000296,A0005658,contact296@example.com,2023-10-08,DE
CT00000297,A0000404,contact297@example.com,2022-06-23,FR
CT00000298,A0001266,contact298@example.com,2024-01-17,FR
CT00000299,A0000208,contact299@example.com,2021-07-02,DE
CT00000300,ACC0001574,contact300@example.com,2022-11-21,DE
CT00000301,A0002082,contact301@example.com,2023-10-22,DE
CT00000302,A0005808,contact302@example.com,2023-06-27,PL
CT00000303,A0005377,contact303@example.com,2023-04-28,PL
CT00000304,A0003071,contact304@example.com,2024-03-29,US
CT00000305,A0003117,contact305@example.com,2021-04-25,FR
CT00000306,A0000515,contact306@example.com,2021-10-16,FR
CT00000307,A0000322,contact307@example.com,2022-01-07,US
CT00000308,A0003709,contact308@example.com,2021-04-23,DE
CT00000309,A0005855,contact309@example.com,2021-01-27,PL
CT00000310,ACC0002858,contact310@example.com,2022-08-17,PL
CT00000311,ACC0000886,contact311@example.com,2024-04-12,PL
CT00000312,A0001490,contact312@example.com,2021-04-13,US
CT00000313,A0003533,contact313@example.com,2024-10-14,US
CT00000314,A0002887,contact314@example.com,2022-09-22,PL
CT00000315,A0000500,contact315@example.com,2024-03-14,DE
CT00000316,A0002027,contact316@example.com,2023-08-19,PL
CT00000317,A0005899,contact317@example.com,2024-02-01,FR
CT00000318,A0003427,contact318@example.com,2024-08-17,FR
CT00000319,A0004432,contact319@example.com,2023-10-02,PL
CT00000320,A0005175,contact320@example.com,2021-07-25,US
CT00000321,A0005383,contact321@example.com,2023-03-17,DE
CT00000322,A0001643,contact322@example.com,2021-06-21,DE
CT00000323,A0005662,contact323@example.com,2022-11-28,US
CT00000324,A0000489,contact324@example.com,2023-02-21,DE
CT00000325,A0000412,contact325@example.com,2021-10-09,FR
CT00000326,A0002649,contact326@example.com,2023-01-25,US
CT00000327,A0005260,contact327@example.com,2023-07-26,US
CT00000328,A0002075,contact328@example.com,2024-09-07,US
CT00000329,A0003066,contact329@example.com,2021-08-20,US
CT00000330,A0005494,contact330@example.com,2023-02-05,US
CT00000331,A0000256,contact331@example.com,2021-10-18,US
CT00000332,ACC0000805,contact332@example.com,2021-10-25,PL
CT00000333,A0003936,contact333@example.com,2023-10-07,PL
CT00000334,A0004094,contact334@example.com,2023-08-18,US
CT00000335,ACC0001378,contact335@example.com,2022-04-06,US
CT00000336,A0004078,contact336@example.com,2022-12-07,PL
CT00000337,ACC0003818,contact337@example.com,2023-10-28,FR
CT00000338,A0002609,contact338@example.com,2023-12-27,PL
CT00000339,A0003794,contact339@example.com,2021-03-29,PL
CT00000340,A0005161,contact340@example.com,2022-11-11,FR
CT00000341,A0004531,contact341@example.com,2021-03-20,DE
CT00000342,A0000934,contact342@example.com,2024-06-15,DE
CT00000343,A0002824,contact343@example.com,2023-02-04,DE
CT00000344,A0005600,contact344@example.com,2023-05-16,PL
CT00000345,A0000760,contact345@example.com,2021-02-27,US
CT00000346,A0000307,contact346@example.com,2023-03-04,FR
CT00000347,A0005978,contact347@example.com,2024-07-13,PL
CT00000348,A0003398,contact348@example.com,2022-01-03,FR
CT00000349,A0002303,contact349@example.com,2024-03-19,DE
CT00000350,ACC0003689,contact350@example.com,2023-11-29,FR
CT00000351,A0005268,contact351@example.com,2024-01-25,US
CT00000352,ACC0005868,contact352@example.com,2024-03-03,DE
CT00000353,ACC0004617,contact353@example.com,2021-12-14,US
CT00000354,ACC0000779,contact354@example.com,2023-02-02,FR
CT00000355,A0003477,contact355@example.com,2022-05-22,FR
CT00000356,A0003673,contact356@example.com,2021-08-06,DE
CT00000357,A0003478,contact357@example.com,2022-05-03,FR
CT00000358,A0002934,contact358@example.com,2021-06-15,PL
CT00000359,A0001187,contact359@example.com,2023-04-25,FR
CT00000360,A0001288,contact360@example.com,2022-09-05,US
CT00000361,A0004121,contact361@example.com,2022-12-03,FR
CT00000362,A0003980,contact362@example.com,2024-03-01,US
CT00000363,ACC0001249,contact363@example.com,2021-02-24,US
CT00000364,A0005563,contact364@example.com,2022-03-12,DE
CT00000365,A0004625,contact365@example.com,2021-06-29,FR
CT00000366,A0003132,contact366@example.com,2023-06-17,FR
CT00000367,A0005814,contact367@example.com,2021-12-08,PL
CT00000368,A0001337,contact368@example.com,2024-04-15,DE
CT00000369,A0001379,contact369@example.com,2022-07-05,PL
CT00000370,A0005884,contact370@example.com,2022-01-26,US
CT00000371,A0005912,contact371@example.com,2022-01-14,US
CT00000372,A0001753,contact372@example.com,2022-04-28,US
CT00000373,A0002589,contact373@example.com,2024-01-21,FR
CT00000374,A0003174,contact374@example.com,2024-04-05,DE
CT00000375,A0000761,contact375@example.com,2022-12-24,US
CT00000376,A0000393,contact376@example.com,2024-02-05,FR
CT00000377,A0003363,contact377@example.com,2022-06-17,FR
CT00000378,A0000213,contact378@example.com,2022-08-25,US
CT00000379,A0000010,contact379@example.com,2022-11-08,FR
CT00000380,A0000008,contact380@example.com,2024-06-14,DE
CT00000381,A0005494,contact381@example.com,2023-01-30,FR
CT00000382,A0003892,contact382@example.com,2022-08-21,US
CT00000383,A0001105,contact383@example.com,2021-07-06,US
CT00000384,ACC0002033,contact384@example.com,2021-11-10,US
CT00000385,A0005357,contact385@example.com,2023-10-27,FR
CT00000386,A0004465,contact386@example.com,2024-05-06,PL
CT00000387,A0002113,contact387@example.com,2023-11-15,DE
CT00000388,A0000955,contact388@example.com,2023-03-11,DE
CT00000389,A0005789,contact389@example.com,2021-06-06,US
CT00000390,ACC0000229,contact390@example.com,2024-06-23,US
CT00000391,A0000727,contact391@example.com,2022-10-29,DE
CT00000392,A0005472,contact392@example.com,2024-04-04,DE
CT00000393,A0003493,contact393@example.com,2023-05-29,PL
CT00000394,A0001337,contact394@example.com,2023-09-15,PL
CT00000395,A0000075,contact395@example.com,2022-09-26,US
CT00000396,A0002178,contact396@example.com,2022-03-22,FR
CT00000397,ACC0002692,contact397@example.com,2024-01-03,FR
CT00000398,A0002610,contact398@example.com,2023-07-01,US
CT00000399,A0005255,contact399@example.com,2024-07-25,PL
CT00000400,A0001952,contact400@example.com,2022-01-12,US
CT00000401,A0001039,contact401@example.com,2021-12-17,FR
CT00000402,A0005181,contact402@example.com,2022-06-23,PL
CT00000403,A0002802,contact403@example.com,2022-11-06,PL
CT00000404,A0003733,contact404@example.com,2022-02-02,US
CT00000405,A0005491,contact405@example.com,2023-09-19,US
CT00000406,A0000246,contact406@example.com,2023-05-12,US
CT00000407,A0005719,contact407@example.com,2023-12-26,US
CT00000408,A0002529,contact408@example.com,2021-05-04,FR
CT00000409,A0003350,contact409@example.com,2022-04-16,US
CT00000410,A0005162,contact410@example.com,2023-04-02,US
CT00000411,A0005368,contact411@example.com,2021-04-09,FR
CT00000412,A0003708,contact412@example.com,2024-02-26,PL
CT00000413,A0002094,contact413@example.com,2023-04-08,DE
CT00000414,A0003304,contact414@example.com,2023-01-16,FR
CT00000415,A0004978,contact415@example.com,2022-03-31,FR
CT00000416,A0003556,contact416@example.com,2021-08-12,PL
CT00000417,A0001774,contact417@example.com,2022-08-16,PL
CT00000418,A0000774,contact418@example.com,2024-01-07,DE
CT00000419,A0000562,contact419@example.com,2023-10-18,PL
CT00000420,A0000974,contact420@example.com,2022-11-24,US
CT00000421,A0003880,contact421@example.com,2021-05-13,FR
CT00000422,ACC0003686,contact422@example.com,2023-12-23,US
CT00000423,ACC0004826,contact423@example.com,2023-11-18,DE
CT00000424,A0002930,contact424@example.com,2024-06-28,US
CT00000425,A0000018,contact425@example.com,2024-01-04,FR
CT00000426,A0005773,contact426@example.com,2022-11-15,FR
CT00000427,A0002685,contact427@example.com,2023-09-28,FR
CT00000428,A0003947,contact428@example.com,2022-02-17,DE
CT00000429,A0004203,contact429@example.com,2021-02-16,DE
CT00000430,A0005394,contact430@example.com,2021-01-26,FR
CT00000431,A0000769,contact431@example.com,2022-12-20,DE
CT00000432,A0005138,contact432@example.com,2021-09-10,US
CT00000433,A0004188,contact433@example.com,2024-04-01,PL
CT00000434,A0001573,contact434@example.com,2022-09-05,DE
CT00000435,A0002673,contact435@example.com,2024-06-22,DE
CT00000436,A0002677,contact436@example.com,2023-05-24,PL
CT00000437,A0000424,contact437@example.com,2021-09-01,FR
CT00000438,A0004973,contact438@example.com,2022-06-29,PL
CT00000439,A0003598,contact439@example.com,2023-08-14,DE
CT00000440,A0003390,contact440@example.com,2022-02-06,PL
CT00000441,A0000250,contact441@example.com,2021-11-25,DE
CT00000442,A0002771,contact442@example.com,2023-12-23,PL
CT00000443,A0005614,contact443@example.com,2022-12-11,PL
CT00000444,A0005262,contact444@example.com,2021-06-28,FR
CT00000445,ACC0002930,contact445@example.com,2023-12-01,US
CT00000446,A0004658,contact446@example.com,2023-05-18,PL
CT00000447,ACC0002423,contact447@example.com,2021-11-12,FR
CT00000448,A0005491,contact448@example.com,2024-04-26,FR
CT00000449,A0000737,contact449@example.com,2021-05-27,US
CT00000450,A0002543,contact450@example.com,2021-12-19,US
CT00000451,A0002152,contact451@example.com,2023-02-08,FR
CT00000452,A0005198,contact452@example.com,2022-03-01,DE
CT00000453,A0001050,contact453@example.com,2023-09-11,US
CT00000454,A0001122,contact454@example.com,2022-11-24,DE
CT00000455,A0001107,contact455@example.com,2022-01-29,PL
CT00000456,ACC0001232,contact456@example.com,2021-05-13,US
CT00000457,ACC0004430,contact457@example.com,2022-09-27,PL
CT00000458,ACC0002408,contact458@example.com,2023-04-03,FR
CT00000459,A0001795,contact459@example.com,2023-01-12,US
CT00000460,A0002263,contact460@example.com,2023-03-14,PL
CT00000461,A0005139,contact461@example.com,2022-01-24,FR
CT00000462,A0002217,contact462@example.com,2023-03-06,DE
CT00000463,A0005024,contact463@example.com,2023-03-26,DE
CT00000464,A0005454,contact464@example.com,2023-08-17,US
CT00000465,A0001567,contact465@example.com,2024-09-04,US
CT00000466,A0000018,contact466@example.com,2021-09-08,PL
CT00000467,A0004777,contact467@example.com,2021-01-28,PL
CT00000468,A0000950,contact468@example.com,2022-09-24,US
CT00000469,A0002194,contact469@example.com,2024-09-13,DE
CT00000470,ACC0002740,contact470@example.com,2023-02-19,US
CT00000471,A0004144,contact471@example.com,2024-03-26,FR
CT00000472,A0002386,contact472@example.com,2024-06-17,PL
CT00000473,A0004067,contact473@example.com,2022-05-16,US
CT00000474,A0004236,contact474@example.com,2024-10-20,DE
CT00000475,A0000084,contact475@example.com,2024-10-01,DE
CT00000476,A0001309,contact476@example.com,2021-05-20,PL
CT00000477,A0002625,contact477@example.com,2022-07-22,PL
CT00000478,A0003075,contact478@example.com,2024-04-04,US
CT00000479,ACC0002447,contact479@example.com,2024-02-19,FR
CT00000480,ACC0004279,contact480@example.com,2022-03-08,DE
CT00000481,A0000995,contact481@example.com,2021-06-02,US
CT00000482,A0005381,contact482@example.com,2021-11-23,FR
